ID,Route,Scheduled Launch Time,Actual Launch Time,Arrival Time,Distance Travelled (Km),Energy Consumed (KWh),Launching SOC,Arriving SOC
211,M79-SBS,0 days 09:56:00,0 days 09:56:00,0 days 11:16:00,16.257999999999853,29.914720000001843,0.902,0.6883
198,M86-SBS,0 days 10:39:00,0 days 10:39:00,0 days 11:16:50,8.978999999999921,16.52135999999978,0.9007,0.7827
397,M57,0 days 09:57:00,0 days 09:57:00,0 days 11:17:50,14.266999999999923,26.251279999999966,0.9,0.7125
14,M9,0 days 08:42:00,0 days 08:42:00,0 days 11:18:00,31.811999999999784,58.53407999999959,0.9,0.4819
139,M20,0 days 08:35:00,0 days 08:35:00,0 days 11:19:00,30.218999999999816,55.60295999999966,0.9,0.5028
127,M42,0 days 10:33:00,0 days 10:33:00,0 days 11:19:10,7.94399999999994,14.61695999999985,0.9005,0.7961
320,M23-SBS,0 days 09:59:00,0 days 09:59:00,0 days 11:19:10,15.875999999999877,29.21183999999965,0.9038,0.6952
250,M60-SBS,0 days 07:08:00,0 days 07:08:00,0 days 11:19:30,59.11999999999961,108.7808000000031,0.9,0.123
110,M50,0 days 09:58:00,0 days 09:58:00,0 days 11:19:50,15.877999999999872,29.21551999999967,0.9038,0.6951
334,M66,0 days 10:16:00,0 days 10:16:00,0 days 11:21:30,12.791999999999891,23.537279999999715,0.9033,0.7351
71,M14D-SBS,0 days 09:39:00,0 days 09:39:00,0 days 11:22:30,19.464999999999836,35.815600000000266,0.901,0.6452
212,M79-SBS,0 days 10:03:00,0 days 10:03:00,0 days 11:23:00,16.257999999999853,29.914720000001843,0.902,0.6883
60,M14A-SBS,0 days 09:46:00,0 days 09:46:00,0 days 11:23:10,19.122999999999877,35.18631999999985,0.9,0.6487
199,M86-SBS,0 days 10:46:00,0 days 10:46:00,0 days 11:23:50,8.978999999999921,16.52135999999978,0.9007,0.7827
161,M55,0 days 09:30:00,0 days 09:30:00,0 days 11:25:30,19.893999999999878,36.604959999999835,0.9,0.6385
284,M34-SBS,0 days 09:46:00,0 days 09:46:00,0 days 11:26:10,20.43599999999986,37.60223999999981,0.9,0.6314
359,M21,0 days 09:08:00,0 days 09:08:00,0 days 11:26:20,29.162999999999858,53.659919999999744,0.9,0.5167
251,M60-SBS,0 days 07:15:00,0 days 07:15:00,0 days 11:26:30,59.11999999999961,108.7808000000031,0.9,0.123
308,M34A-SBS,0 days 10:26:00,0 days 10:26:00,0 days 11:26:50,11.07699999999995,20.381680000000028,0.9,0.7544
15,M9,0 days 08:52:00,0 days 08:52:00,0 days 11:28:00,31.811999999999784,58.53407999999959,0.9,0.4819
128,M42,0 days 10:43:00,0 days 10:43:00,0 days 11:29:10,7.94399999999994,14.61695999999985,0.9005,0.7961
321,M23-SBS,0 days 10:09:00,0 days 10:09:00,0 days 11:29:10,15.875999999999877,29.21183999999965,0.9038,0.6952
416,M72,0 days 10:00:00,0 days 10:00:00,0 days 11:29:50,17.482999999999883,32.16871999999989,0.9,0.6702
213,M79-SBS,0 days 10:10:00,0 days 10:10:00,0 days 11:30:00,16.257999999999853,29.914720000001843,0.902,0.6883
72,M14D-SBS,0 days 09:47:00,0 days 09:47:00,0 days 11:30:30,19.464999999999836,35.815600000000266,0.901,0.6452
170,M22,0 days 09:45:00,0 days 09:45:00,0 days 11:31:40,21.183999999999838,38.97856000000082,0.9037,0.6253
200,M86-SBS,0 days 10:54:00,0 days 10:54:00,0 days 11:31:50,8.978999999999921,16.52135999999978,0.9007,0.7827
367,M8,0 days 10:02:00,0 days 10:02:00,0 days 11:31:50,16.744999999999862,30.810799999999613,0.905,0.6849
398,M57,0 days 10:12:00,0 days 10:12:00,0 days 11:32:50,14.266999999999923,26.251279999999966,0.9,0.7125
335,M66,0 days 10:28:00,0 days 10:28:00,0 days 11:33:30,12.791999999999891,23.537279999999715,0.9033,0.7351
32,M14A-SBS,0 days 09:58:00,0 days 09:58:00,0 days 11:35:10,19.12299999999985,35.18632000000015,0.9033,0.652
73,M14D-SBS,0 days 09:54:00,0 days 09:54:00,0 days 11:37:30,19.464999999999836,35.815600000000266,0.901,0.6452
214,M79-SBS,0 days 10:18:00,0 days 10:18:00,0 days 11:38:00,16.257999999999853,29.914720000001843,0.902,0.6883
265,M34-SBS,0 days 09:58:00,0 days 09:58:00,0 days 11:38:10,20.435999999999826,37.602240000000535,0.9016,0.633
252,M60-SBS,0 days 07:27:00,0 days 07:27:00,0 days 11:38:30,59.11999999999961,108.7808000000031,0.9,0.123
201,M86-SBS,0 days 11:01:00,0 days 11:01:00,0 days 11:38:50,8.978999999999921,16.52135999999978,0.9007,0.7827
285,M34A-SBS,0 days 10:38:00,0 days 10:38:00,0 days 11:38:50,11.076999999999915,20.381679999999772,0.9006,0.755
140,M20,0 days 08:55:00,0 days 08:55:00,0 days 11:39:00,30.218999999999816,55.60295999999966,0.9,0.5028
169,M12,0 days 09:30:00,0 days 09:30:00,0 days 11:39:00,26.643999999999814,49.02495999999968,0.9,0.5498
129,M42,0 days 10:53:00,0 days 10:53:00,0 days 11:39:10,7.94399999999994,14.61695999999985,0.9005,0.7961
322,M23-SBS,0 days 10:19:00,0 days 10:19:00,0 days 11:39:10,15.875999999999877,29.21183999999965,0.9038,0.6952
111,M50,0 days 10:18:00,0 days 10:18:00,0 days 11:39:50,15.877999999999872,29.21551999999967,0.9038,0.6951
16,M9,0 days 09:07:00,0 days 09:07:00,0 days 11:43:00,31.811999999999784,58.53407999999959,0.9,0.4819
417,M72,0 days 10:15:00,0 days 10:15:00,0 days 11:44:50,17.482999999999883,32.16871999999989,0.9,0.6702
74,M14D-SBS,0 days 10:02:00,0 days 10:02:00,0 days 11:45:30,19.464999999999836,35.815600000000266,0.901,0.6452
162,M55,0 days 09:50:00,0 days 09:50:00,0 days 11:45:30,19.893999999999878,36.604959999999835,0.9,0.6385
253,M60-SBS,0 days 07:34:00,0 days 07:34:00,0 days 11:45:30,59.11999999999961,108.7808000000031,0.9,0.123
336,M66,0 days 10:40:00,0 days 10:40:00,0 days 11:45:30,12.791999999999891,23.537279999999715,0.9033,0.7351
215,M79-SBS,0 days 10:26:00,0 days 10:26:00,0 days 11:46:00,16.257999999999853,29.914720000001843,0.902,0.6883
360,M21,0 days 09:28:00,0 days 09:28:00,0 days 11:46:20,29.162999999999858,53.659919999999744,0.9,0.5167
